NSW,SW
add,tambah
admin,pentadbir
admit,masuk
botton,butang
cheat,tipu
confirm,mesti
confirm2,pasti
copy ori,tiruan 
customer service,khidmat pelanggan
die,mati
etc,dan lain-lain
family,keluarga
family gathering,aktiviti keluarga
fool,bodoh
fuck,
glasses,cermin mata
good,bagus
heart attack,serangan jantung
I love it,saya suka ini
join,menyertai
made in,buatan
name,nama
off,tutup
ok,boleh
operate,pembedahan
plan,pelan
power,kuasa
power,hebat
punch line,jenaka
punchline,jenaka
punchline,sindiran
repost,hantar semula
review,semak
sarcasm,sindiran
security,sekuriti
serious,serius
service,berkhidmat
statement,kenyataan
student,pelajar
to,itu
try,cuba
tuition,tuisyen
win,menang
